sitename,sitecode,latitude,longitude,CRS,type,notes,sensor_offset_m,distance_m,width_mar_m,habitat_length_m,ws_area.km2,isc.percent,comid,slope,siteID,startdate.UTC,enddate.UTC
NewHopeCreek,NHC,35.9795,-79.0018,WGS84,core,,0.21,0,10,100,81.06622487,1.26,8895490,0.00443447,NC_NHC,9/14/2016 1:15,3/18/2020 19:00
PineyMountain,PM,35.987235,-79.008397,WGS84,synoptic,fake sensor offset,0.8,1570,18.5,250,68.63434374,1.39,8895440,0.00980557,NC_PM,3/5/2019 22:00,3/11/2020 20:30
ConcreteBridgePool,CBP,35.98549,-79.022675,WGS84,synoptic,fake sensor offset,0.5,3450,18.3,150,66.04436851,1.43,8895440,0.00980557,NC_CBP,3/5/2019 22:00,3/11/2020 19:00
WoodenBridge,WB,35.993014,-79.034349,WGS84,synoptic,fake sensor offset,0.4,5950,10,150,61.64141061,1.49,8895420,0.00223296,NC_WB,3/5/2019 22:00,3/20/2020 20:15
WoodenBridgePool,WBP,35.994973,-79.033925,WGS84,synoptic,fake sensor offset,0.75,6120,15.6,350,61.38241308,1.49,8895420,0.00223296,NC_WBP,3/5/2019 22:00,3/20/2020 18:15
PowerCut,PWC,35.995878,-79.03551,WGS84,synoptic,fake sensor offset,0.75,6300,14.9,200,60.86441804,1.5,8895420,0.00223296,NC_PWC,3/5/2019 22:00,8/21/2019 20:30
UpperNewHopeCreek,UNHC,35.9925,-79.046,WGS84,core,,0.2,8450,13.8,100,58.01544528,1.56,8895362,0.00252147,NC_UNHC,7/12/2016 2:00,3/18/2020 17:45
MC751,MC751,36.0087,-78.9683,WGS84,synoptic,fake sensor offset,0.2,,4,,3.574165825,11.6,8888398,0.00891752,NC_MC751,4/25/2018 23:00,3/20/2020 18:45
MudTrib,Mud,36.004,-78.9715,WGS84,core,,0.03,,1,,0.932391085,0.53,8888400,0.02941547,NC_Mud,12/7/2006 7:15,3/18/2020 19:45
"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC",USGS-0209722970,35.983222,-78.956806,WGS84,USGS,,,,,,12.32828212,24,8893140,0.00147632,,,
"THIRD FORK CREEK AT M.L. KING PARKWAY AT DURHAM,NC",USGS-0209725960,35.951181,-78.926942,WGS84,USGS,,,,,,21.83349124,24.6,8893292,0.00132795,,,
"NEW HOPE CREEK NEAR BLANDS, NC",USGS-02097314,35.885,-78.965278,WGS84,USGS,,,,,,197.356113,9.79,8893720,1.00E-05,,,
"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC",USGS-02097280,35.922639,-78.952417,WGS84,USGS,,,,,,38.33163349,19.9,8894150,0.00103282,,,
