date,Fpar_500m_med,Fpar_500m_mean,Fpar_500m_std,Fpar_500m_cnt,Fpar_500m_ax,Fpar_500m_min
2000_02_26,43,43.79628,4.9208726,163,66,27
2000_03_05,46,45.8268915,3.8094553,163,63,35
2000_03_13,50,49.8407583,5.8507283,163,64,34
2000_03_21,48,47.8937041,4.8896668,163,56,32
2000_03_29,48,48.6884856,4.7550168,163,67,33
2000_04_06,60,60.1300811,4.2648849,163,78,45
2000_04_14,69,72.1716338,8.9317821,163,89,53
2000_04_22,59,57.8168066,24.0584901,163,100,12
2000_04_30,85,83.3836786,7.3495089,163,94,60
2000_05_08,89,86.7790595,6.5941132,163,94,58
2000_05_16,84,82.0612706,6.7021894,163,92,54
2000_05_24,90,87.7903575,7.6652017,163,94,58
2000_06_01,89,86.0979711,7.6579753,163,94,59
2000_06_09,88,86.1161668,6.1893054,163,95,59
2000_06_17,90,86.0386271,10.57547,163,100,28
2000_06_25,89,87.3326832,7.2188388,163,94,51
2000_07_03,85,81.8716314,8.735033,163,94,54
2000_07_11,89,81.8294127,16.7875003,163,94,14
2000_07_19,83,80.8155698,6.4091317,163,88,60
2000_07_27,59,61.719882,21.7516252,163,100,11
2000_08_04,21,29.7828176,25.8778475,163,100,4
2000_08_12,32,38.8728683,25.7485079,163,100,4
2000_08_20,87,83.8612849,6.6373847,163,93,62
2000_08_28,66,61.9793069,27.5488186,163,100,9
2000_09_05,57,57.0041862,18.8550235,163,100,24
2000_09_13,86,83.8305782,7.1172043,163,95,50
2000_09_21,63,65.2796423,9.7558089,163,92,44
2000_09_29,81,79.4640963,6.5261657,163,89,53
2000_10_07,77,77.2099517,5.8855047,163,89,56
2000_10_15,63,63.6057846,5.6960671,163,85,43
2000_10_23,60,60.1724663,4.5896788,163,86,44
2000_10_31,55,55.2058845,4.3893808,163,80,42
2000_11_08,52,51.6263587,4.5026412,163,74,33
2000_11_16,50,48.9779036,4.4587428,163,67,31
2000_11_24,47,48.23671,4.7961807,163,67,29
2000_12_02,47,47.6141094,4.7479827,163,72,32
2000_12_10,46,45.3414599,5.1798618,163,66,28
2000_12_18,47,46.387508,4.9750554,163,75,29
2000_12_26,41,40.5893728,4.7453502,163,61,29
2001_01_01,45,44.7481864,5.0279358,163,71,29
2001_01_09,47,45.1905668,4.6361781,163,71,29
2001_01_17,47,46.5295055,5.0205869,163,75,33
2001_01_25,46,46.0349404,4.9393247,163,77,29
2001_02_02,44,44.2271008,5.2088455,163,79,30
2001_02_10,43,42.9539519,4.813078,163,73,29
2001_02_18,42,41.1099113,4.4229597,163,71,31
2001_02_26,43,41.7887163,3.8901801,163,51,26
2001_03_06,44,44.2404205,4.4454193,163,62,27
2001_03_14,38,37.2445354,5.2404131,163,71,23
2001_03_22,43,43.9822325,3.6125438,163,54,31
2001_03_30,45,44.8683253,4.2731283,163,78,33
2001_04_07,52,51.1542706,6.6533848,163,63,36
2001_04_15,67,67.3266418,6.2283265,163,87,46
2001_04_23,85,83.5025569,8.0613637,163,94,54
2001_05_01,86,85.0620555,7.845592,163,94,54
2001_05_09,89,82.3857955,13.3494254,163,100,44
2001_05_17,85,82.7672145,7.4725891,163,93,53
2001_05_25,88,83.3420783,11.9694305,163,94,45
2001_06_02,88,83.5282449,11.9508384,163,100,50
2001_06_10,90,85.6250743,12.6766727,163,93,28
2001_07_04,90,84.4288942,12.2475501,163,94,43
2001_07_12,86,85.1707062,7.8584814,163,94,50
2001_07_20,83,80.9656542,11.1751258,163,94,36
2001_07_28,41,49.5952715,30.2349601,163,100,5
2001_08_05,89,88.064767,4.4431242,163,94,68
2001_08_13,86,84.2969103,7.0267551,163,91,21
2001_08_21,89,88.416407,3.7830233,163,94,64
2001_08_29,70,68.2712937,19.8493953,163,100,31
2001_09_06,87,84.8076017,6.7246037,163,93,53
2001_09_14,86,83.2330471,7.4017788,163,94,55
2001_09_22,88,85.7610779,5.1664237,163,91,64
2001_09_30,87,84.2543348,6.4929253,163,91,58
2001_10_08,84,79.9343291,8.3378634,163,91,54
2001_10_16,66,66.578384,6.0674692,163,88,49
2001_10_24,62,61.6324715,5.2917871,163,86,46
2001_11_01,59,58.302809,5.0496425,163,81,40
2001_11_09,53,53.8335514,4.3318531,163,80,43
2001_11_17,52,51.0149133,4.3789845,163,79,39
2001_11_25,47,48.0611755,4.8851232,163,73,32
2001_12_03,46,44.7957092,5.1968514,163,70,30
2001_12_11,43,41.022144,6.2601583,163,63,23
2001_12_19,46,44.9345432,5.1842052,163,68,28
2001_12_27,37,39.07019,5.2530888,163,72,28
2002_01_01,27,27.5164237,5.2060411,163,66,9
2002_01_09,47,44.9011964,5.0828878,163,75,29
2002_01_17,35,35.4467569,4.7359182,163,70,23
2002_01_25,47,45.6453631,4.7956078,163,73,28
2002_02_02,42,41.9600647,4.983899,163,77,29
2002_02_10,47,46.7302048,4.8563853,163,73,29
2002_02_18,43,43.9724806,4.2697006,163,76,33
2002_02_26,43,42.984278,3.9243285,163,53,28
2002_03_06,43,43.2853983,3.7336014,163,57,26
2002_03_14,43,43.1969412,3.787935,163,57,26
2002_03_22,2,2.7066099,1.9519425,163,11,1
2002_03_30,47,46.5868516,3.8183371,163,61,33
2002_04_07,48,47.1667103,4.5148206,163,66,35
2002_04_15,61,60.936232,4.6379232,163,90,51
2002_04_23,86,82.845325,7.4134092,163,94,54
2002_05_01,90,86.6045477,7.9623819,163,94,57
2002_05_09,88,86.1270842,7.5384121,163,94,57
2002_05_17,89,86.3208858,7.349473,163,94,58
2002_05_25,89,85.8291749,8.6671593,163,95,58
2002_06_02,88,85.7392432,7.9900292,163,94,57
2002_06_10,86,84.38972,8.9014578,163,94,53
2002_06_18,85,80.166853,11.4450973,163,94,44
2002_06_26,88,85.7605547,5.9998745,163,100,58
2002_07_04,86,80.8949647,18.1130021,163,100,35
2002_07_12,83,80.5245106,8.7060468,163,92,35
2002_07_20,86,73.0059225,22.6721159,163,100,9
2002_07_28,89,87.6642961,6.4599683,163,94,61
2002_08_05,90,88.2000571,5.4576268,163,94,66
2002_08_13,87,84.1309136,7.9030407,163,94,60
2002_08_21,90,86.0577742,9.9726941,163,94,46
2002_08_29,87,84.0609852,6.7608587,163,89,58
2002_09_06,87,86.1637847,5.2776357,163,94,66
2002_09_14,87,74.1527722,17.7449128,163,89,27
2002_09_22,88,78.0431225,17.9611241,163,100,26
2002_09_30,85,82.0646719,8.0979968,163,91,48
2002_10_08,73,68.1497277,20.674559,163,89,22
2002_10_16,80,78.1781985,8.8151376,163,90,53
2002_10_24,9,23.5209666,26.6945494,163,100,5
2002_11_01,73,72.0692624,5.9022167,163,90,42
2002_11_09,61,56.8391171,7.7560135,163,68,31
2002_11_17,52,52.0812501,5.3805185,163,78,37
2002_11_25,48,48.5590943,4.461536,163,72,37
2002_12_03,35,35.392051,4.1466675,163,57,23
2002_12_11,47,47.2430607,5.28192,163,71,29
2002_12_19,48,49.0852461,6.2599058,163,78,32
2002_12_27,46,45.8409723,4.9142751,163,65,28
2003_01_01,43,42.530885,4.950179,163,65,29
2003_01_09,42,41.8545537,5.0493518,163,72,28
2003_01_17,43,43.1493709,5.0797398,163,77,30
2003_01_25,41,39.4178817,5.995419,163,80,25
2003_02_02,45,44.3843446,4.4144334,163,70,30
2003_02_10,44,44.4032062,4.9708624,163,78,32
2003_02_18,38,34.2328806,9.9863846,163,49,11
2003_02_26,29,30.8070071,19.1686211,163,100,3
2003_03_06,44,44.1257522,3.1603489,163,57,32
2003_03_14,22,22.2784054,2.4134692,163,33,19
2003_03_22,44,44.2070975,3.8826068,163,60,32
2003_03_30,48,47.766501,3.7732406,163,59,33
2003_04_07,52,52.3691459,4.388266,163,77,41
2003_04_15,63,64.4720643,7.744606,163,89,45
2003_04_23,78,76.7664058,8.2680178,163,90,55
2003_05_01,86,83.3021906,6.7541359,163,90,56
2003_05_09,82,79.1468259,8.8653937,163,88,49
2003_05_17,69,68.0416241,11.6958359,163,93,29
2003_05_25,84,80.6621792,8.8670195,163,92,35
2003_06_02,90,85.9699355,12.4813233,163,94,36
2003_06_10,83,75.5408748,17.2171812,163,98,20
2003_06_18,90,83.9001261,10.6183116,163,94,52
2003_06_26,84,82.7647884,9.7680734,163,96,34
2003_07_04,89,87.2642533,6.2105589,163,94,63
2003_07_12,82,78.8252741,9.3579742,163,100,43
2003_07_20,87,72.8799087,22.7013314,163,94,23
2003_07_28,55,60.4311538,25.8244565,163,100,10
2003_08_05,73,62.6212687,29.602906,163,100,15
2003_08_13,77,69.1997954,21.7192939,163,100,15
2003_08_21,88,87.0233095,4.1703805,163,94,68
2003_08_29,86,83.0058749,7.9879232,163,93,58
2003_09_06,87,81.9338059,11.3714764,163,91,25
2003_09_14,88,84.8094332,6.6996281,163,91,58
2003_09_22,88,85.3576339,5.4718974,163,89,63
2003_09_30,84,81.47763,6.6942721,163,89,58
2003_10_08,76,74.9976928,6.2192554,163,87,56
2003_10_16,73,71.9242204,5.5049378,163,87,54
2003_10_24,62,61.5277216,4.7260612,163,85,46
2003_11_01,54,54.2756464,5.6498971,163,80,43
2003_11_09,52,52.8466332,6.1446917,163,74,38
2003_11_17,52,51.7664534,5.0710634,163,69,37
2003_11_25,51,49.7423352,3.7787327,163,72,42
2003_12_03,51,50.0607711,4.6985855,163,72,33
2003_12_11,45,44.2400875,5.4013658,163,70,28
2003_12_19,46,45.3861761,4.6574641,163,66,29
2003_12_27,49,48.9711486,4.6255797,163,78,37
2004_01_01,49,48.3611541,4.4988195,163,71,35
2004_01_09,47,46.7111291,5.0385469,163,80,30
2004_01_17,49,49.1335062,4.5372485,163,77,37
2004_01_25,42,41.7145779,4.6043752,163,53,20
2004_02_02,46,43.9531194,5.4655794,163,63,28
2004_02_10,36,36.9003639,4.8938139,163,72,23
2004_02_18,46,45.1713008,4.3474819,163,71,31
2004_02_26,44,43.9182979,3.3363856,163,57,33
2004_03_05,46,45.9716956,4.396338,163,84,35
2004_03_13,46,45.2819494,3.2721076,163,60,35
2004_03_21,44,44.9693885,4.621876,163,71,33
2004_03_29,47,45.8654473,5.0483454,163,54,24
2004_04_06,46,45.4559618,3.2060718,163,59,33
2004_04_14,50,53.3739029,7.4002176,163,85,39
2004_04_22,87,84.6581357,6.7359337,163,92,56
2004_04_30,87,85.1015865,6.0911008,163,94,58
2004_05_08,87,84.6762838,8.1856677,163,100,57
2004_05_16,86,81.7304426,12.1654848,163,100,39
2004_05_24,88,85.2785719,8.8694302,163,100,52
2004_06_01,84,81.650453099999993,8.7715645,163,93,23
2004_06_09,37,41.8007516,14.0527201,163,92,26
2004_06_17,90,85.3850106,9.9176253,163,100,49
2004_06_25,90,89.5044835,5.6336859,163,95,65
2004_07_03,90,87.8599529,7.9924265,163,95,58
2004_07_11,90,87.191542,7.5990356,163,95,48
2004_07_19,91,87.5231073,11.4558721,163,94,23
2004_07_27,80,72.3995909,20.6825985,163,100,21
2004_08_04,89,87.4773684,4.9701961,163,95,60
2004_08_12,88,85.058012,7.8886879,163,100,49
2004_08_20,67,70.1114573,11.7195868,163,100,41
2004_08_28,49,53.2913684,26.4208592,163,100,12
2004_09_05,87,83.6317817,7.0498513,163,90,41
2004_09_13,88,77.8097662,15.6973929,163,93,42
2004_09_21,88,84.5110482,7.223884,163,91,57
2004_09_29,88,85.4173584,5.2648833,163,93,67
2004_10_07,85,79.7395286,9.3073126,163,88,50
2004_10_15,80,78.0466189,8.9027178,163,90,47
2004_10_23,11,15.0355826,12.0578948,163,89,3
2004_10_31,63,62.4717789,4.3095529,163,77,43
2004_11_08,59,58.2801418,5.0379567,163,77,42
2004_11_16,51,50.376662,4.6728173,163,67,32
2004_11_24,47,47.1043456,5.9573364,163,69,28
2004_12_02,51,50.2864448,4.7712631,163,72,38
2004_12_10,47,46.5464881,5.4753012,163,75,28
2004_12_18,47,47.885403,5.0011704,163,74,29
2004_12_26,47,46.9103061,5.2898237,163,71,29
2005_01_01,46,46.4992508,5.5217314,163,66,28
2005_01_09,12,16.3060914,9.5305796,163,36,5
2005_01_17,45,44.3267369,5.2124715,163,64,26
2005_01_25,36,37.4485408,6.2304231,163,57,16
2005_02_02,47,46.3902433,5.2692923,163,74,27
2005_02_10,47,46.3519254,5.3986824,163,63,28
2005_02_18,46,44.7492091,5.0373889,163,72,30
2005_02_26,38,36.8856647,4.6984654,163,56,21
2005_03_06,43,43.5419927,3.6844156,163,58,29
2005_03_14,41,39.5824275,3.9136585,163,56,26
2005_03_22,42,42.8303404,5.319121,163,73,28
2005_03_30,44,44.4484456,4.3906411,163,59,33
2005_04_07,49,49.1921842,3.6527032,163,62,37
2005_04_15,72,71.9089028,9.1876036,163,89,46
2005_04_23,82,77.6459101,9.5813491,163,94,44
2005_05_01,86,83.2167543,7.9940934,163,94,50
2005_05_09,88,84.9561401,8.8282869,163,93,51
2005_05_17,86,84.052042,7.8178239,163,95,54
2005_05_25,80,75.6671265,14.257806,163,92,37
2005_06_02,69,66.3904098,26.6436936,163,100,10
2005_06_10,89,86.8754371,7.1761416,163,96,49
2005_06_18,90,85.7606022,9.0564616,163,94,46
2005_06_26,90,86.2581643,8.3372585,163,94,60
2005_07_04,89,85.4543681,11.3986079,163,95,41
2005_07_12,69,69.1472302,15.1278691,163,100,30
2005_07_20,90,88.0782056,6.8899557,163,94,53
2005_07_28,90,86.5967462,9.433628,163,95,38
2005_08_05,88,79.2901315,18.2913758,163,100,19
2005_08_13,90,87.741146,6.2489353,163,94,65
2005_08_21,88,75.0574412,19.5644643,163,95,18
2005_08_29,88,85.7032086,6.9178247,163,94,61
2005_09_06,88,83.5195871,9.5617901,163,94,57
2005_09_14,89,85.3108246,6.94906,163,91,59
2005_09_22,85,80.2073353,9.5928912,163,89,51
2005_09_30,87,82.446971,9.1100266,163,96,47
2005_10_08,85,80.1963466,10.4157398,163,92,50
2005_10_16,83,79.9109245,7.8702786,163,90,54
2005_10_24,77,76.5788597,7.3918361,163,90,53
2005_11_01,72,70.0637205,6.8390793,163,85,46
2005_11_09,61,60.8352877,5.1206601,163,81,38
2005_11_17,55,55.679138,5.5225561,163,76,34
2005_11_25,52,52.5204434,4.6618259,163,78,36
2005_12_03,41,40.5198487,7.0206515,163,68,23
2005_12_11,42,42.6874866,6.6178378,163,72,29
2005_12_19,47,48.188331,4.8723709,163,71,29
2005_12_27,47,45.2265062,5.3592109,163,68,26
2006_01_01,47,47.236496,5.2240984,163,74,32
2006_01_09,45,43.5305045,5.5277129,163,68,26
2006_01_17,46,44.6437695,5.6764481,163,66,22
2006_01_25,46,44.8467283,5.4119749,163,75,26
2006_02_02,49,48.4954214,4.9819502,163,74,29
2006_02_10,49,48.1012535,4.8497544,163,71,30
2006_02_18,43,43.4787955,3.9249614,163,59,26
2006_02_26,43,42.9041695,4.6964062,163,74,27
2006_03_06,46,45.3911472,3.9405419,163,60,29
2006_03_14,47,47.3645553,3.8556611,163,56,28
2006_03_22,47,47.1661394,3.6543103,163,59,35
2006_03_30,46,46.1875461,4.485229,163,62,32
2006_04_07,51,51.2485788,4.7663382,163,85,34
2006_04_15,70,71.2881098,8.8856639,163,89,45
2006_04_23,77,76.2648717,9.2541167,163,93,52
2006_05_01,86,83.199296,8.7217258,163,93,51
2006_05_09,85,79.0163642,16.1288612,163,97,10
2006_05_17,89,86.9038841,7.0381495,163,95,53
2006_05_25,86,84.7614109,7.6365559,163,99,39
2006_06_02,85,83.7787265,8.0765421,163,100,35
2006_06_10,88,81.1018005,15.2272114,163,100,9
2006_06_18,90,83.681136,15.8196819,163,100,29
2006_06_26,91,87.0569893,10.0069079,163,97,52
2006_07_04,91,88.0937136,7.3426126,163,98,59
2006_07_12,71,70.2777157,15.8708396,163,99,35
2006_07_20,88,85.3738078,10.8293105,163,100,34
2006_07_28,91,89.3958328,5.3075889,163,94,64
2006_08_05,38,41.9314987,12.5850937,163,87,13
2006_08_13,85,73.1077706,18.5753255,163,94,28
2006_08_21,89,85.0781343,8.0140971,163,94,57
2006_08_29,88,81.4674976,14.195582,163,100,41
2006_09_06,87,85.1795305,5.0731114,163,91,52
2006_09_14,88,85.798492,6.400752,163,94,61
2006_09_22,88,86.0325619,5.8988296,163,91,59
2006_09_30,88,84.6766406,6.5216773,163,90,59
