date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
1986001,86,95.0164255,31.867177,106549,241,0
1986017,110.4815276,118.8992933,42.3317782,106549,289,0
1986033,146.4938841,154.2148622,43.4550577,103808,359,0
1986049,180.4860895,186.6674059,57.0759069,106542,436,0
1986065,301.4923984,308.004484,72.9470449,103808,704,0
1986081,563.5580244,575.1969288,127.4036675,106549,1330,0
1986097,851.4126983,815.7670037,151.6427174,106549,1390,0
1986113,1075.4394397,1052.9417183,172.5504539,106549,1789,5
1986129,1099.562921,1043.9805358,161.7024518,106549,1663,14
1986145,1147.5030021,1093.2910748,181.241813,106549,1878,0
1986161,1115.4791181,1107.0404151,173.9726677,106549,1935,33
1986177,1091.4575223,1065.8377993,236.9040916,106549,1984,160
1986193,955.4279918,890.6614907,301.7510258,106549,1820,0
1986209,1043.4650593,996.6774748,215.3583887,106549,1798,91
1986225,1235.5337258,1175.537715,180.3799571,106549,1798,197
1986241,1107.5214019,1062.418062,140.877422,106549,1548,189
1986257,891.5701678,859.6514157,109.7744329,106549,1367,150
1986273,653.5144873,635.2181965,87.9785216,106549,1053,34
1986289,593.4962501,578.2261107,85.9362548,106549,944,0
1986305,313.497177,311.5910373,50.0554876,106549,588,0
1986321,234.4680389,240.5539304,51.3180639,106549,458,0
1986337,116.4959742,124.3465889,34.0421911,106549,290,0
1986353,112.4911977,121.07428,34.3300309,106549,290,0
1987001,120.4957082,130.4722379,40.2159292,106549,318,0
1987017,73,78.9757903,26.1796164,106549,209,0
1987033,156.4828604,170.1343656,50.502508,106549,453,0
1987049,217.4925943,232.6979525,62.2199068,106549,590,0
1987065,269.4895972,279.3371312,66.2075803,106549,694,0
1987081,475.5020786,476.7950257,92.9339338,106549,1049,0
1987097,939.5237286,903.2697653,136.8014368,106549,1598,0
1987113,1251.6369254,1189.9439289,184.6282568,106549,1820,7
1987129,1347.5437072,1274.6686959,201.3844923,106549,2034,23
1987145,1303.4769429,1256.1623508,188.0732603,106549,2064,1
1987161,1195.5189832,1148.10066,156.7479736,106549,1837,168
1987177,1163.5171602,1151.4162886,150.0611317,106549,1901,297
1987193,1019.5123609,1048.7625408,175.6122791,106549,1944,201
1987209,795.5771469,801.3885777,159.8403771,106549,1545,226
1987225,851.5225165,848.463966,141.7303212,106549,1563,191
1987241,899.5544523,866.1462964,111.0666111,106549,1314,151
1987257,1051.5635739,999.4272242,139.1565092,106549,1567,73
1987273,691.5030587,662.1223988,109.2486549,106549,1042,0
