date,Lai_500m_med,Lai_500m_mean,Lai_500m_std,Lai_500m_cnt,Lai_500m_max,Lai_500m_min
NA,NA,NA,NA,NA,NA,NA
2000_02_26,9,8.7970779,0.4556451,17,9,8
2000_03_05,9,9.2956865,0.38122,17,10,9
2000_03_13,10,10.6760204,0.848365,17,12,10
2000_03_21,10,9.9823748,0.4705882,17,11,9
2000_03_29,11,11.5593692,1.0878378,17,14,10
2000_04_06,17,17.1549165,0.8564835,17,18,15
2000_04_14,28,33.9536178,10.6491711,17,46,20
2000_04_22,9,17.6175788,22.2550488,17,70,4
2000_04_30,48,51.0062616,4.1193274,17,63,44
2000_05_08,53,54.7050093,4.7716,17,63,47
2000_05_16,49,48.9014378,2.8026186,17,53,45
2000_05_24,55,55.7506957,4.4860414,17,66,51
2000_06_01,52,55.7539425,6.244721,17,67,49
2000_06_09,52,52.2029221,3.7894408,17,61,48
2000_06_17,60,60.2757421,6.4437948,17,70,49
2000_06_25,57,57.4615028,5.2915026,17,66,48
2000_07_03,47,44.2207792,8.754633,17,51,21
2000_07_11,52,52.520872,3.831214,17,59,44
2000_07_19,46,45.9369202,1.1098801,17,48,44
2000_07_27,17,22.3251391,14.3401582,17,53,8
2000_08_04,6,6.4710111,2.9009007,17,14,1
2000_08_12,7,8.1356679,5.3693994,17,24,1
2000_08_20,47,46.9788961,6.9237068,17,55,20
2000_08_28,7,24.1089981,22.0105354,17,62,3
2000_09_05,12,15.1280148,8.7463289,17,46,8
2000_09_13,43,43.0974026,4.7308163,17,51,26
2000_09_21,16,16.3995826,1.4858036,17,20,15
2000_09_29,29,31.5387291,6.1739491,17,44,25
2000_10_07,26,27.6032004,4.5359006,17,42,22
2000_10_15,16,16.4350649,1.2478355,17,18,14
2000_10_23,14,13.8423006,0.9665692,17,16,12
2000_10_31,9,9.5705009,1.1939872,17,13,8
2000_11_08,8,7.9594156,0.8724939,17,9,7
2000_11_16,7,7.3003247,0.545507,17,9,7
2000_11_24,7,7.1859926,0.5823232,17,9,6
2000_12_02,7,7.2680891,0.5823232,17,9,6
2000_12_10,7,6.6709184,0.9772499,17,9,5
2000_12_18,7,7.2414193,0.6169464,17,9,6
2000_12_26,6,5.7469852,0.6809316,17,7,5
2001_01_01,7,6.7050093,0.7624401,17,8,5
2001_01_09,7,6.8573748,0.4241825,17,7,6
2001_01_17,7,7.1038961,0.4159452,17,8,6
2001_01_25,7,7.0180891,0.4159452,17,8,6
2001_02_02,7,6.7868738,0.5703153,17,8,6
