date,annualNPP_med,annualNPP_mean,annualNPP_std,annualNPP_cnt,annualNPP_max,annualNPP_min
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
1986,6238.9699281,6121.0964333,1022.1396521,106549,10922,1150
1987,6431.3890951,6313.4887358,1042.5717136,106549,11123,1367
1988,7074.2539116,6836.1681599,1034.7480508,106549,11508,1467
1989,7520.4381302,7081.6173183,1202.1283263,106549,11708,1375
1990,7520.5604285,7306.0974756,1190.6473293,106549,12445,1429
1991,7583.3789133,7262.3481093,1225.4591038,106549,12242,1555
1992,8224.1628405,7802.5666278,1279.0293712,106549,12147,1381
1993,6815.5286609,6506.7925418,1246.6945706,101320,11450,907
1994,8031.7076782,7471.0818109,1541.3731979,101320,12103,1213
1995,7839.6241306,7264.3387321,1547.0167951,101320,12069,1214
1996,8095.2387203,7488.9108672,1541.0378941,101320,12309,1368
1997,7840.2693148,7434.1222434,1429.5218723,101320,12633,1308
1998,8097.1058726,7485.8913254,1486.9845927,101320,12657,1264
1999,8736.5200589,8033.8182763,1575.2599382,101320,13249,1226
2000,8928.7232261,8187.2190436,1632.3037725,101320,13416,1208
2001,8352.7300308,7611.0779989,1566.0052768,101320,12512,1089
2002,6625.169966,6174.4001686,1231.9314417,101081,11378,186
2003,10336.2153853,9184.4326212,2092.3144584,101081,13994,1327
2004,8672.5470283,7797.4840407,1695.6774645,101081,12794,1197
2005,8032.3083054,7288.48532,1579.6944217,101081,12370,989
2006,9120.4540482,8311.2806462,1711.9886543,101081,13573,1149
2007,6687.9044155,6321.2486482,1251.8176699,100678,11998,343
2008,8544.3148517,7875.9292779,1608.5079824,100678,13377,1213
2009,8928.8774291,8059.0347019,1776.507438,100678,13132,633
2010,7264.573138,6710.0110384,1402.9215368,100678,12334,380
2011,4447.3287212,4417.1203463,976.7070231,100678,10442,0
2012,5919.9684971,5625.1315623,1186.9574126,100678,11581,0
2013,7583.8931282,6849.817567,1608.4539441,100678,11996,183
2014,8352.36335,7673.4630996,1617.943511,100678,13136,464
2015,8481.2651146,7726.0038862,1688.2746675,100678,13395,515
2016,9760.713683,8803.6191585,1977.9847856,100678,14636,426
2017,9121.210163,8285.6073157,1825.8247739,100678,14377,397
2018,8672.4383266,7746.8137137,1899.4534056,100678,13221,401
2019,8416.2602928,7931.2376367,1588.0355775,98796,13521,748
NA,NA,NA,NA,NA,NA,NA
