date,ppt_med,ppt_mean,ppt_std,ppt_cnt,ppt_max,ppt_min
19810101,0,0,0,4,0,0
19810102,0,0,0,4,0,0
19810103,0,0,0,4,0,0
19810104,0,0,0,4,0,0
19810105,0,0,0,4,0,0
19810106,0,0,0,4,0,0
19810107,4.8439999,4.8821527,0.1294016,4,5.046,4.7059999
19810108,0,0,0,4,0,0
19810109,0,0,0,4,0,0
19810110,0,0,0,4,0,0
19810111,0,0,0,4,0,0
19810112,0,0,0,4,0,0
19810113,0,0,0,4,0,0
19810114,0,0,0,4,0,0
19810115,0,0.0399205,0.077982,4,0.186,0
19810116,0,0,0,4,0,0
19810117,0,0,0,4,0,0
19810118,0,0,0,4,0,0
19810119,0,0,0,4,0,0
19810120,0,0,0,4,0,0
19810121,7.6129999,8.0689671,1.3365353,4,9.8690004,6.3410001
19810122,3.0139999,3.3436039,1.798806,4,5.4889998,0.712
19810123,0,0,0,4,0,0
19810124,0,0,0,4,0,0
19810125,0,0,0,4,0,0
19810126,0,0,0,4,0,0
19810127,0,0,0,4,0,0
19810128,3.6440001,3.1644242,1.7860771,4,5.6469998,0.891
19810129,0,0,0,4,0,0
19810130,0.492,0.5090134,0.2634516,4,0.789,0.095
19810131,7.0209999,7.0421845,0.1034006,4,7.2319999,6.974
19810201,0,0,0,4,0,0
19810202,7.427,7.7667885,1.2104838,4,9.3129997,6.0900002
19810203,2.5940001,2.4280318,0.572933,4,3.211,1.682
19810204,0,0,0,4,0,0
19810205,0,0,0,4,0,0
19810206,0,0,0,4,0,0
19810207,0,0,0,4,0,0
19810208,6.7870002,6.5797812,0.62136690000000006,4,7.3670001,5.7189999
19810209,0.647,0.596258,0.198239,4,0.878,0.352
19810210,0,0,0,4,0,0
19810211,18.5039997,19.0291428,2.208985,4,21.7759991,15.8500004
19810212,9.1269999,9.321237,0.4711658,4,10.0699997,8.8459997
19810213,0,0,0,4,0,0
19810214,0,0,0,4,0,0
19810215,0,0,0,4,0,0
19810216,0,0,0,4,0,0
19810217,0,0,0,4,0,0
19810218,0,0,0,4,0,0
