date,tmax_med,tmax_mean,tmax_std,tmax_cnt,tmax_max,tmax_min
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
19810101,5.2740002,5.2252215,0.1146473,8,5.3540001,4.9619999
19810102,11.2110004,11.150473,0.1712171,8,11.3710003,10.8549995
19810103,8.8699999,8.8449424,0.0442857,8,8.9239998,8.7650003
19810104,8.3529997,8.2788211,0.2475064,8,8.5609999,7.7649999
19810105,-0.578,-0.6247396,0.1250729,8,-0.43,-0.851
19810106,3.029,3.0231255,0.077821,8,3.108,2.8710001
19810107,7.757,7.7420834,0.1391482,8,7.9359999,7.4790001
19810108,8.2510004,8.2154159,0.0800131,8,8.342,8.0780001
19810109,2.4860001,2.4129072,0.1650498,8,2.5810001,2.053
19810110,3.3299999,3.143744,0.3780555,8,3.4990001,2.3
19810111,2.5780001,2.5925038,0.2225702,8,3.089,2.368
19810112,0.002,-0.0691123,0.2849759,8,0.305,-0.625
19810113,-3.293,-3.1837842,0.4193242,8,-2.2449999,-3.6070001
19810114,1.148,1.0462233,0.1695704,8,1.184,0.653
19810115,9.3760004,9.3579309,0.0210401,8,9.3970003,9.3310003
19810116,10.4940004,10.4280748,0.1049647,8,10.6079998,10.2390003
19810117,7.493,7.4653406,0.0843631,8,7.6230001,7.3649998
19810118,2.2539999,2.2565295,0.0300767,8,2.3239999,2.2320001
19810119,9.3249998,9.3148407,0.0907189,8,9.4139996,9.1160002
19810120,14.599,14.5464601,0.147142,8,14.7290001,14.2390003
19810121,11.3540001,11.3277922,0.0304794,8,11.3739996,11.2910004
19810122,4.967,4.9399742,0.0584273,8,5.0419998,4.8249998
19810123,12.7550001,12.7540818,0.0198774,8,12.8100004,12.7440004
19810124,10.9490004,10.9624951,0.2877445,8,11.5389996,10.6020002
19810125,10.9630003,10.9414197,0.0595851,8,11.0200005,10.8529997
19810126,16.0650005,16.0352468,0.112049,8,16.184,15.8109999
19810127,16.9689999,16.9459804,0.0669477,8,17.0189991,16.809
19810128,15.7399998,15.7001537,0.108853,8,15.8800001,15.5389996
19810129,11.3070002,11.3229059,0.0443886,8,11.415,11.2869997
19810130,15.625,15.6233432,0.0379207,8,15.7229996,15.6020002
19810131,-1.1799999,-1.143436,0.0899051,8,-0.933,-1.221
19810201,5.2969999,5.3345615,0.0814002,8,5.4710002,5.2360001
19810202,17.0470009,17.0399804,0.034707,8,17.0879993,16.9810009
19810203,11.5319996,11.4998267,0.0457506,8,11.5570002,11.4069996
19810204,0.17,0.1626274,0.0451427,8,0.263,0.112
