date,tmin_med,tmin_mean,tmin_std,tmin_cnt,tmin_max,tmin_min
19810101,-3.398,-3.3491235,0.2059362,4,-3.1259999,-3.6300001
19810102,-2.2149999,-2.2490489,0.0844186,4,-2.187,-2.398
19810103,-6.8179998,-6.8362567,0.2715542,4,-6.5900002,-7.2750001
19810104,-5.073,-5.045676,0.0990165,4,-4.8439999,-5.073
19810105,-13.7180004,-13.6518082,0.2872104,4,-13.3240004,-14.0600004
19810106,-12.1960001,-12.1247971,0.1898722,4,-11.8850002,-12.3629999
19810107,-7.6950002,-7.6787165,0.2379868,4,-7.375,-7.9840002
19810108,-7.9749999,-7.8608252,0.3380037,4,-7.474,-8.3070002
19810109,-7.1789999,-7.0863154,0.2518584,4,-6.6810002,-7.3709998
19810110,-6.6479998,-6.6366357,0.2315949,4,-6.3080001,-6.9349999
19810111,-12.802,-12.7595772,0.3569934,4,-12.4020004,-13.2910004
19810112,-13.9379997,-13.8450953,0.2926811,4,-13.507,-14.2390003
19810113,-14.8769999,-14.9230759,0.0689795,4,-14.8620005,-15.0279999
19810114,-11.3219995,-11.3081073,0.0716886,4,-11.2209997,-11.4119997
19810115,-3.211,-3.0382005,0.4491867,4,-2.4630001,-3.609
19810116,-7.165,-7.1269878,0.3480143,4,-6.789,-7.6389999
19810117,-7.9190001,-7.8657701,0.2783011,4,-7.586,-8.2589998
19810118,-8.2959995,-8.3555951,0.0920228,4,-8.2819996,-8.5109997
19810119,-7.1329999,-7.1159633,0.1667834,4,-6.9330001,-7.348
19810120,-3.2709999,-2.915786,0.9566374,4,-1.648,-4.1259999
19810121,-0.241,-0.074423,0.6961467,4,0.765,-1.05
19810122,0.126,0.0671027,0.0864292,4,0.18,-0.042
19810123,-3.516,-3.4727469,0.4257295,4,-3.0190001,-4.1209998
19810124,-5.6430001,-5.5935416,0.3342001,4,-5.2449999,-6.066
19810125,-5.4099998,-5.4104438,0.0623819,4,-5.323,-5.4920001
19810126,-3.7539999,-3.728835,0.1978737,4,-3.4960001,-4.026
19810127,1.9809999,2.0980929,0.4841995,4,2.664,1.426
19810128,5.4109998,5.3844057,0.0828977,4,5.5510001,5.3189998
19810129,-4.4829998,-4.429434,0.3489673,4,-4.0739999,-4.934
19810130,-4.7189999,-4.6388411,0.3723456,4,-4.2360001,-5.165
19810131,-14.8990002,-14.8681089,0.4287,4,-14.448,-15.5240002
19810201,-13.5550003,-13.5629659,0.0715102,4,-13.4230003,-13.6120005
19810202,-9.3199997,-9.3794853,0.148723,4,-9.2209997,-9.585
19810203,-8.5889997,-8.6202801,0.2545362,4,-8.2670002,-8.9320002
19810204,-12.7259998,-12.8211025,0.3583836,4,-12.3719997,-13.3179998
19810205,-12.4069996,-12.4756538,0.4666094,4,-11.8699999,-13.1059999
19810206,-9.2849998,-9.1319767,0.9624933,4,-7.7859998,-10.3389997
19810207,-7.5949998,-7.605011,0.8814071,4,-6.5110002,-8.8369999
19810208,-6.7550001,-6.7708643,0.9876418,4,-5.5640001,-8.1619997
19810209,-7.9320002,-7.8843838999999996,0.7178141,4,-6.9289999,-8.8339996
19810210,-5.6350002,-5.5858277,0.4256883,4,-4.96,-6.0890002
19810211,0.19,0.1383105,0.2015135,4,0.379,-0.145
19810212,-10.2539997,-10.2739119,0.3088322,4,-9.8699999,-10.6780005
19810213,-10.0150003,-10.0093229,0.4074219,4,-9.4610004,-10.5349998
19810214,-7.8530002,-7.893549,0.0350742,4,-7.7729998,-7.8590002
19810215,-4.1859999,-4.2058886,0.6336384,4,-3.3469999,-5.0229998
19810216,-3.2909999,-3.2669951,0.8280841,4,-2.178,-4.3610001
19810217,-1.7640001,-1.7559768,0.7036769,4,-0.86,-2.71
19810218,5.3189998,5.376209,0.6487391,4,6.131,4.4299998
19810219,9.4029999,9.5739976,0.994883,4,10.8830004,8.2399998
19810220,9.0780001,9.0768642,0.3516068,4,9.493,8.5719995
19810221,8.3430004,8.4142336,0.4286516,4,8.9860001,7.8449998
19810222,9.25,9.2973129,0.1773223,4,9.5369997,9.0819998
19810223,9.198,9.1824033,0.0420378,4,9.2469997,9.1389999
19810224,3.826,3.9353508,0.2777817,4,4.3579998,3.6300001
19810225,-1.238,-1.1717115,0.3297476,4,-0.731,-1.602
19810226,0.491,0.3679242,0.1078063,4,0.589,0.302
19810227,-2.652,-2.7005892,0.1082321,4,-2.5039999,-2.809
19810228,-1.123,-1.171659,0.0974333,4,-1.0700001,-1.3200001
19810301,3.2750001,3.2480196,0.4597214,4,3.842,2.6429999
19810302,6.1399999,6.0843508,0.6807085,4,7.132,5.3039999
19810303,0.395,0.3135672,0.472554,4,1.094,-0.179
19810304,-3.526,-3.6835869,0.501899,4,-3.023,-4.3390002
19810305,-0.913,-1.1319511,0.2003477,4,-0.876,-1.358
19810306,0.292,0.2010843,0.2721317,4,0.554,-0.153
19810307,-1.472,-1.4998802,0.0654002,4,-1.316,-1.48
19810308,-3.5239999,-3.5561723,0.5077979,4,-2.776,-4.1399999
19810309,-2.8740001,-2.8939915,0.1443024,4,-2.6530001,-2.9949999
19810310,-2.056,-2.2080012,0.0814294,4,-2.036,-2.234
19810311,-3.0050001,-3.0771528,0.536216,4,-2.3529999,-3.7820001
19810312,-1.726,-1.8232689,0.0793958,4,-1.67,-1.87
19810313,-2.1329999,-2.2436039,0.6399013,4,-1.414,-3.098
19810314,0.147,-0.1446076,0.3761046,4,0.381,-0.575
19810315,-5.388,-5.3755721,0.0905824,4,-5.223,-5.4689999
19810316,-1.735,-1.6653435,0.1272537,4,-1.529,-1.8380001
19810317,-4.79,-4.8335207,0.2916028,4,-4.507,-5.2659998
19810318,-0.66,-0.7486858,0.3046182,4,-0.28,-1.099
19810319,-1.421,-1.4408228,0.2362386,4,-1.064,-1.693
19810320,-3.2219999,-3.2752298,0.0460814,4,-3.128,-3.2509999
19810321,-2.8369999,-2.7723374,0.375698,4,-2.1670001,-3.171
19810322,0.338,0.4013716,0.7439205,4,1.477,-0.502
19810323,0.053,0.1375404,0.7234048,4,1.21,-0.719
19810324,-1.528,-1.6260905,0.2939467,4,-1.262,-2.0109999
19810325,-3.2479999,-3.4096602,0.2525287,4,-3.1440001,-3.766
19810326,-0.254,-0.2182176,0.8582475,4,0.982,-1.304
19810327,1.5140001,1.2601993,0.2110059,4,1.575,1.051
19810328,0.395,0.2835183,0.6545534,4,1.229,-0.516
19810329,1.6289999,1.4761516,0.1269397,4,1.688,1.373
19810330,4.9980001,5.0547983,0.114914,4,5.2589998,4.973
19810331,7.4130001,7.368489,0.586668,4,8.1940002,6.6469998
19810401,10.2849998,10.1812482,0.1646455,4,10.5629997,10.1800003
19810402,7.079,6.9769535,0.4597436,4,7.506,6.3759999
19810403,5.369,5.1663875,0.2698691,4,5.5840001,4.8779998
19810404,10.3900003,10.341121,0.5589546,4,11.0810003,9.6929998
19810405,15.9049997,15.8354313,0.2007441,4,16.1359997,15.6479998
19810406,2.7279999,2.6757249,0.5900659,4,3.3629999,1.882
19810407,-2.608,-2.7296809,0.5871892,4,-1.9910001,-3.49
19810408,1.398,1.3095073,0.7217498,4,2.2379999,0.392
19810409,4.579,4.5667334,0.2500684,4,5.0339999,4.4689999
19810410,8.9879999,8.9359315,0.2314654,4,9.2200003,8.6479998
19810411,11.882,11.8524852,0.3656703,4,12.3520002,11.4099998
19810412,14.4840002,14.4569596,0.2411297,4,14.7530003,14.1669998
19810413,11.1800003,11.140104,0.5393278,4,11.9040003,10.4989996
19810414,8.1850004,8.1339464,0.3373637,4,8.5740004,7.7140002
19810415,8.1599998,8.0959498,0.388418,4,8.625,7.6469998
19810416,1.3660001,1.5422188,1.0166192,4,2.928,0.249
19810417,5.4330001,5.2944034,0.8418695,4,6.3709998,4.2379999
19810418,13.2659998,13.1659803,0.2483347,4,13.5109997,12.8800001
19810419,7.5939999,7.6311419,0.9264134,4,8.9020004,6.4840002
19810420,10.7589998,10.624357,0.5101536,4,11.257,10.0030003
19810421,3.3529999,3.6001076,1.421426,4,5.533,1.8049999
19810422,2.1099999,2.3923949,1.3077118,4,4.1760001,0.722
19810423,7.0879998,7.0271993,0.7934761,4,8.1330004,6.105
19810424,11.4189997,11.3276749,0.3610501,4,11.7650003,10.8760004
19810425,4.5,4.4280379,0.1993746,4,4.704,4.1890001
19810426,1.381,1.2938643,0.3264487,4,1.715,0.909
19810427,4.5929999,4.4320487,0.2846357,4,5.0419998,4.2659998
19810428,11.8839998,11.9619058,0.7588368,4,12.9860001,11.007
19810429,14.4549999,14.3223399,0.1780574,4,14.6549997,14.1800003
19810430,13.0010004,12.9844036,0.7747642,4,14.0100002,12.0159998
19810501,10.5550003,10.5311125,0.338837,4,10.9110003,10.052
19810502,5.3969998,5.3461332,0.2449086,4,5.6900001,5.0780001
19810503,2.3900001,2.3941846,0.1480592,4,2.5420001,2.1689999
19810504,3.0810001,3.0537592,0.2048004,4,3.2850001,2.777
19810505,6.4959998,6.4442261,0.2921622,4,6.744,6.0120001
19810506,10.6739998,10.7531455,0.5283488,4,11.4390001,10.0699997
19810507,6.2189999,6.1281368,0.2452222,4,6.3649998,5.7670002
19810508,3.513,3.5413252,0.314909,4,3.9579999,3.154
19810509,7.119,7.3265783,0.5972321,4,8.1960001,6.664
19810510,9.8459997,9.905819,0.2244344,4,10.2650003,9.6549997
19810511,12.3760004,12.5222374,0.8680524,4,13.618,11.3310003
19810512,9.8870001,9.8625843,0.0579199,4,9.9510002,9.7939997
19810513,4.5630002,4.5529633,0.0636768,4,4.6669998,4.5170002
19810514,9.052,9.2140562,0.6639595,4,10.1350002,8.408
19810515,13.4020004,13.469971900000001,0.7133053,4,14.4359999,12.5620003
19810516,8.7480001,8.9639767,0.6286425,4,9.8509998,8.2019997
19810517,9.684,9.8020183,0.5733564,4,10.585,9.092
19810518,12.8409996,12.9051294,0.3649196,4,13.427,12.4919996
19810519,7.7179999,7.6364473,0.3640957,4,8.0419998,7.1459999
19810520,7.171,7.1105293,0.1890278,4,7.3119998,6.8439999
19810521,7.572,7.6025257,0.1718466,4,7.8210001,7.3740001
19810522,7.836,7.8290416,0.3389887,4,8.2270002,7.342
19810523,10.2670002,10.0081724,0.8606173,4,11.0909996,8.8170004
19810524,11.2480001,11.132462,0.528574,4,11.7919998,10.3979998
19810525,13.7080002,13.6159009,0.139913,4,13.8059998,13.4460001
19810526,15,14.8974158,0.1151833,4,15.0550003,14.7600002
19810527,16.2070007,16.1753447,0.1113387,4,16.316,16.0149994
19810528,15.2480001,15.2373862,0.1030411,4,15.3549995,15.099
19810529,13.6560001,13.5857128,0.116956,4,13.7200003,13.4280005
19810530,13.7150002,13.7456432,0.073162,4,13.8710003,13.6870003
19810531,17.0450001,16.9949962,0.2742673,4,17.2889996,16.5879993
19810601,17.2019997,17.0845415,0.182407,4,17.2450008,16.7789993
19810602,16.6410007,16.6629795,0.063579,4,16.698,16.5219994
19810603,16.5429993,16.5400047,0.0387261,4,16.5540009,16.4559994
19810604,18.2099991,18.1379792,0.1437296,4,18.2350006,17.8719997
19810605,19.3390007,19.3210052,0.0983852,4,19.3789997,19.1240005
19810606,21.1340008,21.0964879,0.2118924,4,21.3369999,20.7619991
19810607,18.0569992,18.004941,0.1038297,4,18.0849991,17.8269997
19810608,18.9810009,18.9907131,0.1558641,4,19.1669998,18.7420006
19810609,19.7129993,19.656957,0.1199281,4,19.7609997,19.4489994
19810610,21.0720005,20.9641749,0.2115522,4,21.1469994,20.5990009
19810611,21.8829994,21.9129312,0.0279551,4,21.9279995,21.8509998
19810612,17.5419998,17.5491966,0.0654346,4,17.6119995,17.4319992
19810613,19.9239998,19.7860869,0.4097008,4,20.3010006,19.2070007
19810614,21.7469997,21.649908,0.3188317,4,22.0499992,21.1889992
19810615,21.8369999,21.6930366,0.3816544,4,22.1359997,21.1170006
19810616,21.6650009,21.5506299,0.4172556,4,22.052,20.9239998
19810617,22.3959999,22.2161239,0.6582651,4,23.0470009,21.2679996
19810618,17.118,17.0733594,0.1004427,4,17.132,16.8869991
19810619,18.7910004,18.6334134,0.43102,4,19.1380005,17.9920006
19810620,18.3169994,18.1313802,0.3388129,4,18.4750004,17.6040001
19810621,19.0259991,18.9911418,0.1105149,4,19.0330009,18.7609997
19810622,21.1270008,20.8688533,0.6572607,4,21.618,19.8780003
19810623,20.2660007,20.1509767,0.2632576,4,20.3799992,19.6940002
19810624,17.1200008,16.8670242,0.3656329,4,17.1849995,16.2819996
19810625,19.0060005,18.6343915,0.8112562,4,19.5620003,17.4360008
19810626,18.3600006,18.1517261,0.4529528,4,18.6259995,17.4309998
19810627,12.5459995,12.4350476,0.5029622,4,13.0509996,11.7049999
19810628,10.849,10.4547384,1.0075696,4,11.6820002,9.0129995
19810629,11.066,10.6477736,1.0328407,4,11.9029999,9.1689997
19810630,14.3360004,14.2839928,0.1463607,4,14.3789997,14.0010004
19810701,14.9350004,14.7546565,0.6546489,4,15.5629997,13.8039999
19810702,15.6000004,15.4029204,0.5717883,4,16.0639992,14.5480003
19810703,16.3880005,16.3830711,0.2072478,4,16.5869999,16.0200005
19810704,16.5020008,16.5483598,0.2232131,4,16.7660007,16.1420002
19810705,17.1809998,17.2370943,0.1298292,4,17.3400002,16.9740009
19810706,19.3579998,19.2491492,0.4584364,4,19.7989998,18.5750008
19810707,19.3719997,19.264078,0.4795518,4,19.8400002,18.5559998
19810708,19.5090008,19.3249524,0.5532851,4,19.9580002,18.4890003
19810709,19.8339996,19.6624583,0.4856154,4,20.2089996,18.9190006
19810710,21.2369995,20.9324729,0.856824,4,21.9529991,19.6819992
19810711,21.3409996,21.097947,0.7782683,4,22.0259991,19.9529991
19810712,20.6009998,20.3483579,0.7662355,4,21.2639999,19.2119999
19810713,21.6270008,21.3351047,0.9177477,4,22.4669991,20.0259991
19810714,22.6240005,22.4266748,0.570729,4,23.1060009,21.5919991
19810715,20.6690006,20.7219451,0.2284748,4,21.0400009,20.4209995
19810716,18.1469994,17.8411365,0.9186108,4,18.9769993,16.5380001
19810717,17.7439995,17.4743924,0.7682463,4,18.3740005,16.3339996
19810718,17.1849995,17.0891371,0.4334147,4,17.6170006,16.4759998
19810719,18.7029991,18.5595252,0.246064,4,18.7959995,18.1539993
19810720,21.8740005,21.8191332,0.1026948,4,21.8999996,21.6639996
19810721,21.2310009,21.0517616,0.2826489,4,21.3729992,20.6940002
19810722,18.743,18.7830426,0.0175552,4,18.7719994,18.7229996
19810723,17.7789993,17.7430858,0.1298566,4,17.7870007,17.4650002
19810724,19.4990005,19.3915956,0.3533561,4,19.8040009,18.875
19810725,19.7509995,19.4387408,1.0684088,4,20.7719994,17.9330006
19810726,19.1350002,18.8784646,0.7599069,4,19.7779999,17.7549992
19810727,19.6420002,19.3996662,0.6073468,4,20.059,18.4529991
19810728,20.5009995,20.137516,1.1067182,4,21.5109997,18.5720005
19810729,19.2590008,19.1316605,0.4205939,4,19.5919991,18.4710007
19810730,14.7150002,14.5951455,0.4151262,4,15.0310001,13.9169998
19810731,13.6789999,13.6523106,0.2007545,4,13.7910004,13.2559996
19810801,14.3990002,14.2058778,0.3078852,4,14.5220003,13.7360001
19810802,17.4330006,17.2528996,0.3554703,4,17.6399994,16.7089996
19810803,19.4570007,19.3691648,0.1431285,4,19.5049992,19.1369991
19810804,19.7420006,19.6894259,0.3095888,4,20.0540009,19.2280006
19810805,20.8530006,20.8125235,0.3093614,4,21.1870003,20.3530006
19810806,21.927,21.7965354,0.3069488,4,22.1350002,21.3360004
19810807,20.25,20.2186004,0.2429441,4,20.5170002,19.8619995
19810808,19.8490009,19.7192522,0.2937914,4,20.0310001,19.2700005
19810809,22.1599998,22.14061,0.1497039,4,22.3260002,21.9130001
