date,Percent_Tree_Cover_med,Percent_Tree_Cover_mean,Percent_Tree_Cover_std,Percent_Tree_Cover_cnt,Percent_Tree_Cover_ax,Percent_Tree_Cover_min
2000_03_05,50,48.2913125,12.2895479,678,71,9
2001_03_06,54,49.420337,11.9278814,678,69,4
2002_03_06,50,45.760797,11.9505407,678,66,5
2003_03_06,49,46.8937984,11.335425,678,68,7
2004_03_05,48,45.5961041,10.5176047,678,64,5
2005_03_06,50,47.5903735,12.3971991,678,72,5
2006_03_06,49,47.6942465,10.5817381,678,66,6
2007_03_06,52,48.6196543,13.529256,678,75,7
2008_03_05,52,49.1741892,10.9903078,678,69,7
2009_03_06,50,46.529536,10.9111082,678,68,7
2010_03_06,54,49.401755,12.644626,678,68,7
2011_03_06,49,46.0771085,11.037423,678,68,9
2012_03_05,51,49.837014,10.9902146,678,66,13
2013_03_06,55,52.317555,10.4333302,678,69,13
2014_03_06,47,44.1807,10.8011351,678,63,10
2015_03_06,48,46.5593447,10.0005517,678,69,13
2016_03_05,51,48.516315,9.8524129,678,63,14
2017_03_06,52,48.6875011,12.4363077,678,73,9
2018_03_06,48,45.1462164,11.155762,678,65,5
2019_03_06,51,46.5010705,10.124538,678,64,7
