date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
1986001,90,99.4177581,29.26874,5372,192,49
1986017,118,129.3647499,35.5363922,5372,237,63
1986033,151,160.7724088,37.6582041,5372,297,80
1986049,182,190.9639535,39.7833837,5372,356,107
1986065,298.567387,308.1116435,58.7751205,5372,528,176
1986081,581.5126562,599.5144705,102.222863,5372,939,289
1986097,881.4990379,871.5143376,92.4496426,5372,1099,350
1986113,1073.5296935,1103.3473655,116.1477624,5372,1445,455
1986129,1105.5048522,1094.5221821,65.4263596,5372,1392,666
1986145,1157.5792097,1157.9749974,84.3616854,5372,1500,661
1986161,1097.6837834,1149.6910379,127.6276936,5372,1668,690
1986177,1113.3282473,1185.1720772,141.3204165,5372,1775,759
1986193,981.4944357,1061.4672171,140.7652313,5372,1539,693
1986209,1085.5572476,1113.6542992,100.1264051,5372,1555,617
1986225,1251.6173727,1238.8710991,75.2109695,5372,1627,584
1986241,1133.5290448,1119.5243988,66.3596525,5372,1392,613
1986257,913.506072,906.3440186,51.3397483,5372,1190,508
1986273,660.569923,657.7141451,47.8357239,5372,872,379
1986289,580.5044429,579.1890775,55.3228541,5372,775,349
1986305,302.5133239,302.5402163,36.5138643,5372,481,178
1986321,230,237.9257691,44.0121142,5372,369,132
1986337,116,124.5737534,31.0566437,5372,224,63
1986353,114,122.4317583,31.5211665,5372,227,58
1987001,125,134.3071857,36.1075967,5372,248,68
1987017,77,83.4124267,23.6657679,5372,162,36
1987033,162,174.8114489,45.4999219,5372,317,92
1987049,220.4299877,236.1614348,55.4435384,5372,411,129
1987065,268.4203358,283.5863686,59.1817964,5372,477,166
1987081,492.3828664,493.8981921,68.8960224,5372,735,278
1987097,961.5470493,949.6238973,65.8274952,5372,1262,433
1987113,1297.5730045,1282.8696958,88.2922824,5372,1538,714
1987129,1369.5765151,1353.0345761,90.0540788,5372,1685,713
1987145,1313.4979067,1315.2478268,98.3671752,5372,1659,724
1987161,1201.6237865,1193.2915733,76.5833059,5372,1489,700
1987177,1157.3037985,1189.5234898,102.2469537,5372,1606,777
1987193,1033.4826017,1087.7104996,160.5834762,5372,1511,704
1987209,873.4195236,864.7778088,126.0333869,5372,1118,509
1987225,909.5091357,906.152287,105.6786228,5372,1163,559
1987241,901.5233483,892.9064476,50.24602,5372,1105,508
1987257,1049.3806236,1039.4957543,64.485275,5372,1294,609
1987273,694.5065922,693.1865863,54.8457521,5372,851,403
1987289,396.5043129,407.2049301,59.5794278,5372,605,247
1987305,288.4971514,301.0232087,57.6295497,5372,490,181
