date,tmin_med,tmin_mean,tmin_std,tmin_cnt,tmin_max,tmin_min
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
19810101,-3.1630001,-3.2690634,0.1653001,8,-3.1199999,-3.6300001
19810102,-2.187,-2.1685684,0.1203183,8,-1.951,-2.398
19810103,-6.5900002,-6.6288607,0.3012034,8,-6.1830001,-7.2750001
19810104,-5.072,-4.9935552,0.1177688,8,-4.77,-5.1290002
19810105,-13.4209995,-13.5304561,0.2353674,8,-13.3129997,-14.0600004
19810106,-11.96,-12.0338257,0.1639427,8,-11.8620005,-12.3629999
19810107,-7.4510002,-7.4734416,0.2972047,8,-6.928,-7.9840002
19810108,-7.5440001,-7.7050044,0.2881506,8,-7.4229999,-8.3070002
19810109,-7.2379999,-7.1726838,0.202996,8,-6.6810002,-7.3709998
19810110,-6.7249999,-6.6968563,0.1849046,8,-6.3080001,-6.9349999
19810111,-12.4429998,-12.5295968,0.3524058,8,-12.0559998,-13.2910004
19810112,-13.6070004,-13.7338211,0.2366908,8,-13.4969997,-14.2390003
19810113,-14.868,-14.8500559,0.1258936,8,-14.5869999,-15.0279999
19810114,-11.2209997,-11.1603963,0.2190278,8,-10.6750002,-11.4119997
19810115,-2.786,-2.8839554,0.3615798,8,-2.4630001,-3.609
19810116,-6.7950001,-6.9115333,0.3346789,8,-6.4770002,-7.6389999
19810117,-7.5879998,-7.7302089,0.2397478,8,-7.4889998,-8.2589998
19810118,-8.3039999,-8.3470507,0.1014174,8,-8.1920004,-8.5109997
19810119,-6.9549999,-6.9527246,0.2243368,8,-6.5380001,-7.348
19810120,-2.2049999,-2.4996348,0.8007789,8,-1.592,-4.1259999
19810121,0.441,0.2784781,0.6055076,8,0.839,-1.05
19810122,-0.042,0.0137729,0.1284102,8,0.18,-0.155
19810123,-3.1589999,-3.2105602,0.4084902,8,-2.7290001,-4.1209998
19810124,-5.2690001,-5.3333156,0.3732418,8,-4.7410002,-6.066
19810125,-5.3670001,-5.310904,0.1734826,8,-4.901,-5.4920001
19810126,-3.671,-3.6681964,0.2343219,8,-3.217,-4.026
19810127,2.4979999,2.3971675,0.4634959,8,2.9449999,1.426
19810128,5.4109998,5.3740645,0.0898157,8,5.5510001,5.2350001
19810129,-4.1020002,-4.1961518,0.3531382,8,-3.7,-4.934
19810130,-4.302,-4.4574348,0.3198597,8,-4.164,-5.165
19810131,-14.5080004,-14.5834957,0.4317656,8,-13.9969997,-15.5240002
19810201,-13.4329996,-13.396554,0.2397969,8,-12.809,-13.6120005
