date,stage_cm,discharge_m3s,notes
1968-04-08,32.63718551,0.14933831185569124,NA
1968-04-19,32.77482655,0.15142406812655523,NA
1968-05-05,32.8364987,0.15236517150759224,NA
1968-05-11,32.86266265,0.15276565560324418,NA
1968-05-15,32.78389049,0.15156212731611646,NA
1968-05-16,31.41261943,0.13165380270861174,NA
1968-05-19,31.23825543,0.1292606375565625,NA
1968-05-21,30.78926344,0.12323789671082454,NA
1968-05-22,29.50704324,0.10711730935862285,NA
1968-05-23,30.1537599,0.1150513791909293,NA
1968-05-24,30.15936646,0.11512189645406597,NA
1968-05-25,29.61104492,0.10836666609824534,NA
1968-05-26,70.03060247,1.8491165169175063,NA
1968-05-27,61.21634312,1.1869276342552573,NA
1968-05-28,47.8103114,0.5255789078361781,NA
1968-05-29,32.84089051,0.15243234454846893,NA
1968-05-30,31.00754549,0.12614091412298944,NA
1968-05-31,30.00182213,0.11315179599433933,NA
1968-06-01,28.9970332,0.10113552210808473,NA
1968-06-03,28.08503282,0.09102549514975107,NA
1968-06-04,28.91545775,0.10020084296247388,NA
1968-06-05,32.86892331,0.15286159434048174,NA
1968-06-06,34.52603546,0.17976284916446733,NA
1968-06-07,31.77414909,0.13671388056717088,NA
1968-06-08,29.66617609,0.10903304775884394,NA
1968-06-09,37.11103324,0.2280567742289919,NA
1968-06-10,33.53152522,0.1632546258617509,NA
1968-06-11,29.95295162,0.1125454725146522,NA
1968-06-13,29.13560866,0.10273719266255878,NA
1968-06-16,28.50664611,0.0956071895007505,NA
1968-06-18,29.15429719,0.10295454004147454,NA
1968-06-19,32.00644754,0.14003574393932763,NA
1968-06-20,30.08311725,0.11416543783143934,NA
1968-06-22,27.70051627,0.08698233869732955,NA
1968-06-23,25.31791529,0.06466940297524651,NA
1968-06-24,23.94290653,0.05379885997593115,NA
1968-06-29,23.78069007,0.052606887369907894,NA
1968-07-02,23.61006377,0.05137310219218039,NA
1968-07-03,22.23505501,0.042155250183674865,NA
1968-07-05,21.1402808,0.035693076130149666,NA
1968-07-07,20.32013456,0.03132917982712581,NA
1968-07-08,27.39757516,0.08388636715670354,NA
1968-07-09,28.50543135,0.09559376279115,NA
1968-07-13,28.52038218,0.0957591053371841,NA
1968-07-16,28.25603289,0.09286488172085805,NA
1968-07-17,26.69918471,0.0770428403300502,NA
1968-07-19,25.78811877,0.06871280245274843,NA
1968-07-20,25.1516808,0.06328050063326052,NA
