depth_m,K2_perday_perarea,K_gm2hr,k_gm3hr,k2_day_vol,K600,v_ms
0.325,0.075,0.064,0.21,0.23076923076923075,0.49941219886852783,0.014164414407549872
0.35,0.104,0.09,0.26,0.29714285714285715,0.6430526598764283,0.02089613075033906
0.375,0.162,0.14,0.38,0.432,0.9348996362818842,0.03463504431258384
0.4,0.184,0.159,0.4,0.45999999999999996,0.9954949830779323,0.04130994257059864
0.425,0.229,0.198,0.47,0.5388235294117647,1.1660785223777315,0.054000562124624056
0.45,0.277,0.239,0.53,0.6155555555555556,1.3321357986115328,0.06837970721067306
0.475,0.361,0.312,0.66,0.76,1.6447308416070185,0.09331316795474612
0.5,0.419,0.362,0.72,0.838,1.813532164824581,0.11276945285055598
0.525,0.471,0.407,0.78,0.897142857142857,1.941524376934601,0.13162560232668494
0.55,0.464,0.401,0.73,0.8436363636363636,1.82572992943937,0.13386322130575978
0.575,0.474,0.41,0.7,0.8243478260869566,1.7839872286538372,0.14113213321456544
0.6,0.45,0.389,0.65,0.75,1.6230896463227158,0.1377765944897345
0.625,0.444,0.384,0.62,0.7104,1.5373905129968766,0.13978886325582146
0.65,0.416,0.36,0.55,0.6399999999999999,1.385036498195384,0.13430991417407767
