date,site,winkler_probe,depth_m,GPP_gO2m2d,ER_gO2m2d
1968-04-14,Concrete,w,0.5,0.82,1.05
1968-05-06,Concrete,w,0.45,0.52,1.13
1968-06-06,Concrete,w,0.42,0.77,1.19
1968-06-18,Concrete,w,0.46,0.75,1.7
1968-07-13,Concrete,w,0.43,0.28,1.07
1968-07-27,Concrete,w,0.33,0.33,0.73
1968-08-30,Concrete,w,0.22,0.7,0.9
1968-10-04,Concrete,w,0.3,1.03,1.66
1968-11-10,Concrete,p,0.47,0.93,1.52
1968-11-11,Concrete,p,0.49,0.41,1.15
1968-11-24,Concrete,p,0.44,0.21,0.82
1968-12-12,Concrete,p,0.42,0.24,0.39
1969-01-17,Concrete,w,0.44,0.42,0.52
1969-02-21,Concrete,w,0.48,0.66,0.89
1969-03-27,Concrete,p,0.6,1.51,1.48
1969-03-28,Concrete,p,0.55,1.43,1.78
1969-03-29,Concrete,p,0.6,1.24,1.79
1969-04-01,Concrete,w,0.5,0.97,1.51
1969-04-01,Concrete,p,0.5,0.65,0.88
1969-04-19,Concrete,p,0.79,1.19,1.49
1969-04-22,Concrete,p,0.57,0.86,1.07
1969-04-23,Concrete,p,0.55,1.06,1.08
1969-04-25,Concrete,w,0.5,0.98,1.56
1969-04-25,Concrete,p,0.5,1.19,1.56
1969-04-26,Concrete,p,0.5,1.24,2.08
1969-05-14,Concrete,p,0.4,1.07,1.55
1969-05-16,Concrete,p,0.41,1.11,1.83
1969-05-18,Concrete,p,0.4,0.55,1.03
1969-05-30,Concrete,p,0.4,0.5,1.24
1969-06-02,Concrete,p,0.39,0.85,1.7
1969-06-05,Concrete,w,0.45,0.78,2.26
1969-06-07,Concrete,p,0.37,0.46,0.84
1969-06-08,Concrete,p,0.37,0.61,1.15
1969-06-08,Concrete,p,0.45,0.66,1.58
1969-07-01,Concrete,p,0.37,0.5,1.27
1969-07-18,Concrete,p,0.32,0.54,0.81
1969-07-19,Concrete,p,0.32,0.49,0.82
1969-07-20,Concrete,p,0.3,0.57,0.97
1969-07-21,Concrete,p,0.3,0.78,1.08
1969-07-22,Concrete,p,0.3,0.39,0.64
1969-07-25,Concrete,w,0.3,0.41,0.74
1969-07-27,Concrete,p,0.45,0.45,1
1969-08-25,Concrete,w,0.37,0.29,0.73
1969-10-03,Concrete,p,0.65,0.8,2.78
1969-10-04,Concrete,p,0.44,0.6,1.83
1969-10-05,Concrete,p,0.41,0.3,1.04
1969-11-16,Concrete,p,0.35,0.43,1.15
1969-11-21,Concrete,w,0.36,0.23,0.57
1969-11-23,Concrete,p,0.35,0.54,1.05
1970-02-14,Concrete,w,0.4,0.44,1.13
1970-03-11,Concrete,p,0.5,3.15,3.58
1970-03-12,Concrete,p,0.5,2.28,1.49
1970-03-13,Concrete,p,0.82,8.85,13.4
1970-03-14,Concrete,p,0.67,2.97,1.84
1970-04-22,Concrete,p,0.5,0.63,1.65
1970-04-23,Concrete,p,0.5,1.69,2.5
1970-04-25,Concrete,p,0.47,1.12,1.47
1970-04-26,Concrete,p,0.47,0.66,1.37
1970-05-28,Concrete,p,0.47,0.54,1.12
1970-05-29,Concrete,p,0.42,0.88,1.71
1968-06-06,Wood Bridge,w,0.75,0.61,1.6
1968-06-18,Wood Bridge,w,0.67,0.62,1.86
1968-07-13,Wood Bridge,w,0.76,0.64,2.24
1968-07-27,Wood Bridge,w,0.66,1.14,2.98
1968-08-30,Wood Bridge,w,0.3,1.41,2.96
1968-10-04,Wood Bridge,w,0.18,0.72,1.57
1969-01-01,Wood Bridge,w,0.67,0.59,0.9
1969-04-25,Wood Bridge,w,0.83,1.33,1.99
1969-06-05,Wood Bridge,w,0.78,0.69,2.04
1969-07-25,Wood Bridge,w,0.63,1.56,3.37
1969-08-25,Wood Bridge,w,0.7,1.02,2.13
1969-02-21,Blackwood,w,0.25,0.28,0.59
1969-04-25,Blackwood,w,0.27,0.97,1.49
1969-05-20,Blackwood,p,0.27,1.28,2.3
1969-06-05,Blackwood,w,0.22,0.76,2.12
1969-07-25,Blackwood,w,0.1,0.39,1.78
1969-08-25,Blackwood,w,0.14,0.33,1.64
1969-11-21,Blackwood,w,0.13,0.27,0.93
1970-02-14,Blackwood,w,0.17,0.64,0.98
