year,zero_days,max_precip,ppt_cum,percent_extreme
1968,NA,NA,876.43522,NA
1969,NA,NA,1073.542534,NA
1970,NA,NA,1041.201341,NA
1971,NA,NA,1404.269062,NA
1972,NA,NA,1339.840475,NA
1973,NA,NA,1202.977378,NA
1974,NA,NA,1171.557874,NA
1975,NA,NA,1390.626833,NA
1976,NA,NA,857.254252,NA
1977,NA,NA,1015.760282,NA
1978,NA,NA,1310.656777,NA
1979,NA,NA,1380.679916,NA
1980,NA,NA,1133.97067,NA
1981,235,99.3460817,1028.0230725000001,0.6849234546727548
1982,201,48.4558631,1369.5925049,0.7499533768075018
1983,220,63.5204674,1336.0035757,0.7643710443401622
1984,210,67.1355273,1299.0767612,0.7691805010636811
1985,225,99.042461,1345.4215012,0.7619390578979697
1986,222,83.2488538,881.7237557000001,0.6579646272991985
1987,223,48.5941766,1108.2558854,0.7411004316963856
1988,227,59.6983506,909.0801499,0.684967432154906
1989,192,54.509866100000004,1399.5953298,0.7461424699446723
1990,220,91.55792,1096.1539961,0.704090584576577
1991,227,49.3386203,987.4264016999999,0.7410371921798291
1992,196,60.3447682,1193.5831496,0.6720895469819893
1993,219,79.7855419,1208.4832696,0.7295094713158948
1994,198,66.6318836,1096.7282761000001,0.67496663761818
1995,209,90.483247,1327.5944076,0.7731094359273949
1996,187,166.2195026,1404.9964966,0.7107203828026969
1997,211,41.894713,1018.1533889,0.6816092607124455
1998,211,85.481322,1320.4244621,0.73159434608145
1999,225,141.6602855,1430.6526049,0.8558541012027063
2000,216,137.9398634,1061.5824008,0.6778572631363464
2001,242,63.5385854,940.8809979,0.7060724404922112
2002,216,80.7356948,1141.541653,0.7557986218309285
2003,188,43.4698017,1407.5813903,0.7749459955331721
2004,204,41.2199175,1067.9997748,0.7081854992353692
2005,211,50.8627315,998.3157738,0.6624350044903599
2006,223,55.0896874,1184.1405397,0.7545298797272484
2007,246,61.4724352,835.2952977,0.7804877060784632
2008,219,110.3177672,1287.3475331,0.7634738555277542
2009,200,53.9760185,1223.6065501,0.6935338392317748
2010,238,84.6962566,1017.9777483,0.7240647830769485
2011,229,52.1299999,1033.2136615,0.6831833972028835
2012,201,72.6415704,1101.7905437,0.6543083654349212
2013,198,58.1815394,1368.5370613,0.7691172171838355
2014,211,108.5374593,1166.8421388,0.7382707089117684
2015,188,71.0660647,1404.5118587,0.7910134678594438
2016,207,100.3680639,1280.2354308000001,0.7719102117666528
2017,210,109.8255039,1035.9639746,0.6941153199633666
2018,181,107.417209,1784.8536261,0.8262858589264347
2019,209,65.0605806,1202.7284021,0.69559681424272235
2020,171,67.2647213,1616.3587381,0.7679866203211638
