year,month,ppt_mm
1981,1,27.3524057
1981,2,71.7016488
1981,3,64.5804124
1981,4,34.773264
1981,5,101.1355846
1981,6,83.5266058
1981,7,172.307295
1981,8,168.9147786
1981,9,94.649885
1981,10,91.9084646
1981,11,17.0931643
1981,12,100.07956370000001
1982,1,112.1096385
1982,2,114.8202579
1982,3,72.839078
1982,4,95.567964
1982,5,148.1320087
1982,6,233.5984986
1982,7,128.3262181
1982,8,98.496105
1982,9,42.1948807
1982,10,117.9837766
1982,11,63.8818669
1982,12,141.6422119
1983,1,48.4163976
1983,2,138.4131455
1983,3,194.1263236
1983,4,120.1229506
1983,5,146.2486069
1983,6,84.1238523
1983,7,25.863116899999998
1983,8,77.9750294
1983,9,55.8231271
1983,10,131.6743254
1983,11,131.368732
1983,12,181.8479684
1984,1,111.1838063
1984,2,157.3225788
1984,3,195.39148170000001
1984,4,121.5352158
1984,5,168.25500440000002
1984,6,75.40922979999999
1984,7,188.6394025
1984,8,43.8103338
1984,9,49.3508471
1984,10,74.4393281
1984,11,37.9224355
1984,12,75.8170974
1985,1,137.2987133
1985,2,137.9904299
1985,3,36.3071957
1985,4,19.9132178
1985,5,139.8099155
1985,6,68.2715922
1985,7,169.1126192
1985,8,212.04957670000002
1985,9,6.1008219
1985,10,73.9041232
1985,11,313.2934406
1985,12,31.3698552
1986,1,34.9555583
1986,2,45.5099594
1986,3,74.8888465
1986,4,28.1815034
1986,5,71.0416107
1986,6,35.5684031
1986,7,104.1233019
1986,8,240.63988170000002
1986,9,14.5428891
1986,10,45.7319657
1986,11,79.3545559
1986,12,107.18528
1987,1,149.0620087
1987,2,93.8656341
1987,3,95.9100485
1987,4,128.2909201
1987,5,53.512569299999996
1987,6,71.1709251
1987,7,54.6102457
1987,8,88.0353802
1987,9,150.3598369
1987,10,64.4907982
1987,11,74.3871803
1987,12,84.5603383
1988,1,81.7570453
1988,2,64.1171104
1988,3,49.28617
1988,4,78.3356249
1988,5,85.9545519
1988,6,75.8861978
1988,7,41.501179
1988,8,99.8306924
1988,9,88.7143037
1988,10,120.6894859
1988,11,101.7478983
1988,12,21.2598903
1989,1,38.9907105
1989,2,154.7275655
1989,3,172.642964
1989,4,104.5449836
1989,5,115.54746540000001
1989,6,172.7580968
1989,7,139.2331384
1989,8,118.0708431
1989,9,82.8279972
1989,10,126.4821403
1989,11,95.3690359
1989,12,78.4003891
1990,1,68.4648503
1990,2,103.9487608
1990,3,106.64609829999999
1990,4,76.2836906
1990,5,167.0570278
1990,6,33.2612505
1990,7,76.921834
1990,8,83.52652739999999
1990,9,4.5302866
1990,10,231.4606454
1990,11,48.5083743
1990,12,95.5446501
1991,1,129.6018986
1991,2,26.2230796
1991,3,150.9313522
1991,4,55.527931
1991,5,78.1351399
1991,6,72.0742283
1991,7,150.2262653
1991,8,64.4437241
1991,9,118.916491
1991,10,42.470638
1991,11,31.7619646
1991,12,67.1136891
1992,1,100.0378166
1992,2,80.1190773
1992,3,94.4753467
1992,4,69.2416174
1992,5,85.9328012
1992,6,186.2623884
1992,7,64.5154026
1992,8,127.0601744
1992,9,54.6477473
1992,10,100.6284632
1992,11,164.8390173
1992,12,65.8232972
1993,1,125.9495552
1993,2,74.3613215
1993,3,215.9603863
1993,4,110.1301342
1993,5,117.0037741
1993,6,24.8419004
1993,7,72.906856200000007
1993,8,103.6118774
1993,9,79.8066467
1993,10,95.2110367
1993,11,95.1644732
1993,12,93.5353077
1994,1,93.5591571
1994,2,87.5148214
1994,3,151.7903028
1994,4,57.8475672
1994,5,69.6894489
1994,6,68.44087400000001
1994,7,167.7369409
1994,8,114.81846
1994,9,59.4478821
1994,10,130.4619451
1994,11,64.6785653
1994,12,30.7423113
1995,1,126.1733089
1995,2,118.0473653
1995,3,94.4635354
1995,4,27.8882333
1995,5,133.2868148
1995,6,217.9014679
1995,7,81.588716
1995,8,119.99285040000001
1995,9,38.5602668
1995,10,193.5503808
1995,11,125.8638058
1995,12,50.2776622
1996,1,125.8937137
1996,2,60.958672899999996
1996,3,102.8925593
1996,4,96.5241359
1996,5,113.585256
1996,6,63.2441348
1996,7,111.0164408
1996,8,116.6347818
1996,9,332.9909967
1996,10,106.60655179999999
1996,11,81.2055245
1996,12,93.4437284
1997,1,92.8731434
1997,2,72.564331
1997,3,66.5754973
1997,4,139.5569365
1997,5,36.8348136
1997,6,98.8454004
1997,7,126.5915634
1997,8,25.8251448
1997,9,94.47641589999999
1997,10,86.7368365
1997,11,105.4229564
1997,12,71.8503497
1998,1,234.597624
1998,2,165.7844887
1998,3,202.70046150000002
1998,4,87.1355106
1998,5,85.18764730000001
1998,6,65.4989794
1998,7,62.9627936
1998,8,114.245553
1998,9,96.60264740000001
1998,10,41.119563
1998,11,62.330498899999995
1998,12,102.25869469999999
1999,1,171.250993
1999,2,56.8827489
1999,3,89.6725389
1999,4,119.5674704
1999,5,26.640942900000002
1999,6,81.47059039999999
1999,7,69.6360794
1999,8,121.0745402
1999,9,522.3271086
1999,10,67.8532187
1999,11,59.5163252
1999,12,44.7600483
2000,1,120.59574070000001
2000,2,61.9556058
2000,3,77.0147857
2000,4,149.7628277
2000,5,64.513988
2000,6,101.6922139
2000,7,193.19379840000002
2000,8,112.5641389
2000,9,83.0604993
2000,10,5.151106
2000,11,56.1506123
2000,12,35.9270841
2001,1,59.1428013
2001,2,70.6113246
2001,3,164.3964747
2001,4,64.0048076
2001,5,86.5779447
2001,6,138.7561743
2001,7,122.8297146
2001,8,92.187388
2001,9,49.124441499999996
2001,10,37.0899187
2001,11,12.8045703
2001,12,43.3554376
2002,1,143.41402340000002
2002,2,36.2852315
2002,3,85.3347737
2002,4,36.7612761
2002,5,43.5302133
2002,6,52.4317
2002,7,94.9537138
2002,8,99.7210126
2002,9,77.0603868
2002,10,246.4551087
2002,11,91.025528
2002,12,134.5686851
2003,1,51.0522607
2003,2,137.1073528
2003,3,193.699886
2003,4,186.629795
2003,5,123.5661634
2003,6,96.6812176
2003,7,160.8903723
2003,8,131.3522375
2003,9,117.63632150000001
2003,10,70.30786760000001
2003,11,43.983913
2003,12,94.6740029
