agency_cd,site_no,Date,waterYear,X_00060_00003,X_00060_00003_cd,X_00065_00003,X_00065_00003_cd
USGS,02085000,1927-10-01,1928,39,A,NA,NA
USGS,02085000,1927-10-02,1928,39,A,NA,NA
USGS,02085000,1927-10-03,1928,39,A,NA,NA
USGS,02085000,1927-10-04,1928,39,A,NA,NA
USGS,02085000,1927-10-05,1928,39,A,NA,NA
USGS,02085000,1927-10-06,1928,39,A,NA,NA
USGS,02085000,1927-10-07,1928,39,A,NA,NA
USGS,02085000,1927-10-08,1928,39,A,NA,NA
USGS,02085000,1927-10-09,1928,39,A,NA,NA
USGS,02085000,1927-10-10,1928,39,A,NA,NA
USGS,02085000,1927-10-11,1928,39,A,NA,NA
USGS,02085000,1927-10-12,1928,39,A,NA,NA
USGS,02085000,1927-10-13,1928,39,A,NA,NA
USGS,02085000,1927-10-14,1928,39,A,NA,NA
USGS,02085000,1927-10-15,1928,39,A,NA,NA
USGS,02085000,1927-10-16,1928,39,A,NA,NA
USGS,02085000,1927-10-17,1928,39,A,NA,NA
USGS,02085000,1927-10-18,1928,39,A,NA,NA
USGS,02085000,1927-10-19,1928,39,A,NA,NA
USGS,02085000,1927-10-20,1928,39,A,NA,NA
USGS,02085000,1927-10-21,1928,39,A,NA,NA
USGS,02085000,1927-10-22,1928,39,A,NA,NA
USGS,02085000,1927-10-23,1928,39,A,NA,NA
USGS,02085000,1927-10-24,1928,39,A,NA,NA
USGS,02085000,1927-10-25,1928,39,A,NA,NA
USGS,02085000,1927-10-26,1928,39,A,NA,NA
USGS,02085000,1927-10-27,1928,39,A,NA,NA
USGS,02085000,1927-10-28,1928,39,A,NA,NA
USGS,02085000,1927-10-29,1928,39,A,NA,NA
USGS,02085000,1927-10-30,1928,39,A,NA,NA
USGS,02085000,1927-10-31,1928,39,A,NA,NA
USGS,02085000,1927-11-01,1928,15,A,NA,NA
USGS,02085000,1927-11-02,1928,15,A,NA,NA
USGS,02085000,1927-11-03,1928,15,A,NA,NA
USGS,02085000,1927-11-04,1928,15,A,NA,NA
USGS,02085000,1927-11-05,1928,15,A,NA,NA
USGS,02085000,1927-11-06,1928,15,A,NA,NA
USGS,02085000,1927-11-07,1928,15,A,NA,NA
USGS,02085000,1927-11-08,1928,15,A,NA,NA
USGS,02085000,1927-11-09,1928,15,A,NA,NA
USGS,02085000,1927-11-10,1928,15,A,NA,NA
USGS,02085000,1927-11-11,1928,15,A,NA,NA
USGS,02085000,1927-11-12,1928,15,A,NA,NA
USGS,02085000,1927-11-13,1928,15,A,NA,NA
USGS,02085000,1927-11-14,1928,15,A,NA,NA
USGS,02085000,1927-11-15,1928,15,A,NA,NA
USGS,02085000,1927-11-16,1928,15,A,NA,NA
USGS,02085000,1927-11-17,1928,15,A,NA,NA
USGS,02085000,1927-11-18,1928,15,A,NA,NA
USGS,02085000,1927-11-19,1928,15,A,NA,NA
USGS,02085000,1927-11-20,1928,15,A,NA,NA
USGS,02085000,1927-11-21,1928,15,A,NA,NA
USGS,02085000,1927-11-22,1928,15,A,NA,NA
USGS,02085000,1927-11-23,1928,15,A,NA,NA
USGS,02085000,1927-11-24,1928,15,A,NA,NA
USGS,02085000,1927-11-25,1928,15,A,NA,NA
USGS,02085000,1927-11-26,1928,15,A,NA,NA
USGS,02085000,1927-11-27,1928,15,A,NA,NA
USGS,02085000,1927-11-28,1928,15,A,NA,NA
USGS,02085000,1927-11-29,1928,15,A,NA,NA
USGS,02085000,1927-11-30,1928,15,A,NA,NA
USGS,02085000,1927-12-01,1928,18,A,NA,NA
USGS,02085000,1927-12-02,1928,182,A,NA,NA
USGS,02085000,1927-12-03,1928,572,A,NA,NA
USGS,02085000,1927-12-04,1928,641,A,NA,NA
USGS,02085000,1927-12-05,1928,249,A,NA,NA
USGS,02085000,1927-12-06,1928,221,A,NA,NA
USGS,02085000,1927-12-07,1928,249,A,NA,NA
USGS,02085000,1927-12-08,1928,353,A,NA,NA
USGS,02085000,1927-12-09,1928,291,A,NA,NA
USGS,02085000,1927-12-10,1928,158,A,NA,NA
USGS,02085000,1927-12-11,1928,80,A,NA,NA
USGS,02085000,1927-12-12,1928,68,A,NA,NA
USGS,02085000,1927-12-13,1928,57,A,NA,NA
USGS,02085000,1927-12-14,1928,51,A,NA,NA
USGS,02085000,1927-12-15,1928,69,A,NA,NA
USGS,02085000,1927-12-16,1928,559,A,NA,NA
USGS,02085000,1927-12-17,1928,320,A,NA,NA
USGS,02085000,1927-12-18,1928,86,A,NA,NA
USGS,02085000,1927-12-19,1928,58,A,NA,NA
USGS,02085000,1927-12-20,1928,57,A,NA,NA
USGS,02085000,1927-12-21,1928,54,A,NA,NA
USGS,02085000,1927-12-22,1928,49,A,NA,NA
USGS,02085000,1927-12-23,1928,48,A,NA,NA
USGS,02085000,1927-12-24,1928,44,A,NA,NA
USGS,02085000,1927-12-25,1928,44,A,NA,NA
USGS,02085000,1927-12-26,1928,43,A,NA,NA
USGS,02085000,1927-12-27,1928,43,A,NA,NA
USGS,02085000,1927-12-28,1928,41,A,NA,NA
USGS,02085000,1927-12-29,1928,44,A,NA,NA
USGS,02085000,1927-12-30,1928,86,A,NA,NA
USGS,02085000,1927-12-31,1928,158,A,NA,NA
USGS,02085000,1928-01-01,1928,74,A,NA,NA
USGS,02085000,1928-01-02,1928,61,A,NA,NA
USGS,02085000,1928-01-03,1928,56,A,NA,NA
